0,100
1,99
2,98
3,97
4,96
5,95
6,94
7,93
8,92
9,91
10,90
11,89
12,88
13,87
14,86
15,85
16,84
17,83
18,82
19,81
20,80
21,79
22,78
23,77
24,76
25,75
26,74
27,73
28,72
29,71
30,70
31,69
32,68
33,67
34,66
35,65
36,64
37,63
38,62
39,61
40,60
41,59
42,58
43,57
44,56
45,55
46,54
47,53
48,52
49,51
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,49
72,48
73,47
74,46
75,45
76,44
77,43
78,42
79,41
80,40
81,39
82,38
83,37
84,36
85,35
86,34
87,33
88,32
89,31
90,30
91,29
92,28
93,27
94,26
95,25
96,24
97,23
98,22
99,21
100,20
