0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,49
27,48
28,47
29,46
30,45
31,44
32,43
33,42
34,41
35,40
36,39
37,38
38,37
39,36
40,35
41,34
42,33
43,32
44,31
45,30
46,29
47,28
48,27
49,26
50,25
51,24
52,23
53,22
54,21
55,20
56,19
57,18
58,17
59,16
60,15
61,14
62,13
63,12
64,11
65,10
66,9
67,8
68,7
69,6
70,5
71,4
72,3
73,2
74,1
75,0
76,1
77,2
78,3
79,4
80,5
81,6
82,7
83,8
84,9
85,10
86,11
87,12
88,13
89,14
90,15
91,16
92,17
93,18
94,19
95,20
96,21
97,22
98,23
99,24
100,25
