0;100;;;;;;;;;
1;98;;;;;;;;;
2;96;;;;;;;;;
3;94;;;;;;;;;
4;92;;;;;;;;;
5;90;;;;;;;;;
6;88;;;;;;;;;
7;86;;;;;;;;;
8;84;;;;;;;;;
9;82;;;;;;;;;
10;80;;;;;;;;;
11;78;;;;;;;;;
12;76;;;;;;;;;
13;74;;;;;;;;;
14;72;;;;;;;;;
15;70;;;;;;;;;
16;68;;;;;;;;;
17;66;;;;;;;;;
18;64;;;;;;;;;
19;62;;;;;;;;;
20;60;;;;;;;;;
21;58;;;;;;;;;
22;56;;;;;;;;;
23;54;;;;;;;;;
24;52;;;;;;;;;
25;50;;;;;;;;;
26;48;;;;;;;;;
27;46;;;;;;;;;
28;44;;;;;;;;;
29;42;;;;;;;;;
30;40;;;;;;;;;
31;38;;;;;;;;;
32;36;;;;;;;;;
33;34;;;;;;;;;
34;32;;;;;;;;;
35;30;;;;;;;;;
36;28;;;;;;;;;
37;26;;;;;;;;;
38;24;;;;;;;;;
39;22;;;;;;;;;
40;20;;;;;;;;;
41;20;;;;;;;;;
42;20;;;;;;;;;
43;20;;;;;;;;;
44;20;;;;;;;;;
45;20;;;;;;;;;
46;20;;;;;;;;;
47;20;;;;;;;;;
48;20;;;;;;;;;
49;20;;;;;;;;;
50;20;;;;;;;;;
51;21;;;;;;;;;
52;22;;;;;;;;;
53;23;;;;;;;;;
54;24;;;;;;;;;
55;25;;;;;;;;;
56;26;;;;;;;;;
57;27;;;;;;;;;
58;28;;;;;;;;;
59;29;;;;;;;;;
60;30;;;;;;;;;
61;31;;;;;;;;;
62;32;;;;;;;;;
63;33;;;;;;;;;
64;34;;;;;;;;;
65;35;;;;;;;;;
66;36;;;;;;;;;
67;37;;;;;;;;;
68;38;;;;;;;;;
69;39;;;;;;;;;
70;40;;;;;;;;;
71;41;;;;;;;;;
72;42;;;;;;;;;
73;43;;;;;;;;;
74;44;;;;;;;;;
75;45;;;;;;;;;
76;46;;;;;;;;;
77;47;;;;;;;;;
78;48;;;;;;;;;
79;49;;;;;;;;;
80;50;;;;;;;;;
81;51;;;;;;;;;
82;52;;;;;;;;;
83;53;;;;;;;;;
84;54;;;;;;;;;
85;55;;;;;;;;;
86;56;;;;;;;;;
87;57;;;;;;;;;
88;58;;;;;;;;;
89;59;;;;;;;;;
90;60;;;;;;;;;
91;61;;;;;;;;;
92;62;;;;;;;;;
93;63;;;;;;;;;
94;64;;;;;;;;;
95;65;;;;;;;;;
96;66;;;;;;;;;
97;67;;;;;;;;;
98;68;;;;;;;;;
99;69;;;;;;;;;
100;70;;;;;;;;;
